latitude,longitude
47.665634155,-122.308311462
47.677646637,-122.317390442
47.666027069,-122.31842804
47.667217255,-122.306495667
47.657604218,-122.315536499
47.675773621,-122.30116272
47.65908432,-122.315498352
47.685504913,-122.261665344
47.652378082,-122.279823303
47.665660858,-122.311927795
47.662200928,-122.317451477
47.669460297,-122.283493042
47.659095764,-122.316635132
47.657939911,-122.3177948
47.674884796,-122.290260315
47.66878891,-122.280799866
47.663993835,-122.280479431
47.673744202,-122.317359924
47.657604218,-122.315536499
47.692108154,-122.305015564
47.662181854,-122.313117981
47.676692963,-122.282241821
47.675403595,-122.317359924
47.658313751,-122.313209534
47.6784935,-122.274276733
47.687076569,-122.290611267
47.665687561,-122.317398071
47.667850494,-122.318405151
47.665557861,-122.296150208
47.657604218,-122.315536499
47.65945816,-122.318267822
47.661258698,-122.30973053
47.667858124,-122.319519043
47.664512634,-122.320709229
47.662158966,-122.308364868
47.662181854,-122.313117981
47.680744171,-122.263648987
47.663322449,-122.298408508
47.685768127,-122.290565491
47.68176651,-122.276504517
47.655891418,-122.321372986
47.672832489,-122.264839172
47.691287994,-122.290687561
47.670349121,-122.296211243
47.668575287,-122.316825867
47.662204742,-122.31652832
47.671195984,-122.280822754
47.683937073,-122.2862854
47.680862427,-122.317443848
47.664932251,-122.316871643
47.66400528,-122.314224243
47.650848389,-122.278244019
47.65945816,-122.318267822
47.663074493,-122.304962158
47.667491913,-122.313034058
47.667499542,-122.314170837
47.667842865,-122.317375183
47.663963318,-122.306510925
47.673961639,-122.300643921
47.683048248,-122.301300049
47.668251038,-122.300621033
47.661144257,-122.288711548
47.663990021,-122.2837677
47.683048248,-122.28994751
47.658489227,-122.320838928
47.658489227,-122.320838928
47.678707123,-122.313850403
47.649120331,-122.277542114
47.663097382,-122.313667297
47.675849915,-122.319694519
47.665523529,-122.273178101
47.669311523,-122.318717957
47.661308289,-122.31917572
47.676197052,-122.263549805
47.657588959,-122.31438446
47.670570374,-122.272521973
47.665676117,-122.314201355
47.676193237,-122.317367554
47.69525528,-122.286598206
47.673065186,-122.290245056
47.682296753,-122.277648926
47.686901093,-122.276512146
47.683048248,-122.291557312
47.680744171,-122.263648987
47.655860901,-122.285354614
47.676692963,-122.284927368
47.678508759,-122.284980774
47.680744171,-122.263648987
47.661296844,-122.317108154
47.660552979,-122.315460205
47.661289215,-122.316009521
47.666034698,-122.319534302
47.66941452,-122.286865234
47.66399765,-122.313087463
47.654525757,-122.320335388
47.675773621,-122.30116272
47.66003418,-122.320831299
47.67937088,-122.264633179
47.681720734,-122.26701355
47.66400528,-122.314224243
47.681236267,-122.309364319
47.678489685,-122.272949219
47.683952332,-122.29158783
47.66917038,-122.274909973
47.650848389,-122.278244019
47.659095764,-122.316635132
47.65668869,-122.319793701
47.665557861,-122.296150208
47.661258698,-122.30973053
47.664512634,-122.320709229
47.672832489,-122.264839172
47.671195984,-122.280822754
47.657516479,-122.319290161
47.659053802,-122.313186646
47.663322449,-122.298408508
47.673961639,-122.300643921
47.675773621,-122.30116272
47.681552887,-122.317459106
47.661296844,-122.317642212
47.662181854,-122.313117981
47.660552979,-122.315460205
47.668354034,-122.305473328
47.675773621,-122.30116272
47.685199738,-122.275276184
47.681236267,-122.309364319
47.678489685,-122.272949219
47.663993835,-122.305450439
47.663322449,-122.298408508
47.650848389,-122.278244019
47.667491913,-122.313034058
47.671634674,-122.309631348
47.663108826,-122.315811157
47.675403595,-122.317359924
47.672832489,-122.264839172
47.671195984,-122.280822754
47.683937073,-122.2862854
47.662200928,-122.317451477
47.654827118,-122.282112122
47.680149078,-122.28503418
47.657604218,-122.315536499
47.675762177,-122.272216797
47.678707123,-122.313850403
47.669311523,-122.318717957
47.660552979,-122.315460205
47.66860199,-122.320960999
47.667125702,-122.320106506
47.654525757,-122.320335388
47.655056,-122.321891785
47.66400528,-122.314224243
47.664581299,-122.283157349
47.664581299,-122.283157349
47.65668869,-122.319793701
47.665557861,-122.296150208
47.692359924,-122.286651611
47.696582794,-122.294639587
47.683944702,-122.282066345
47.692359924,-122.286651611
47.670707703,-122.311325073
47.673057556,-122.280845642
47.675842285,-122.319023132
47.65965271,-122.317749023
47.66400528,-122.314224243
47.695743561,-122.304771423
47.661258698,-122.30973053
47.689369202,-122.309524536
47.662181854,-122.313117981
47.663970947,-122.309486389
47.692108154,-122.305015564
47.661304474,-122.318595886
47.675762177,-122.272216797
47.666027069,-122.31842804
47.681209564,-122.317451477
47.681720734,-122.26701355
47.679450989,-122.315666199
47.662181854,-122.313117981
47.659793854,-122.313171387
47.661308289,-122.31917572
47.662181854,-122.313117981
47.692108154,-122.305015564
47.661308289,-122.31917572
47.662223816,-122.31955719
47.66305542,-122.309684753
47.685451508,-122.305397034
47.669254303,-122.299568176
47.662223816,-122.31955719
47.664237976,-122.289237976
47.667491913,-122.313034058
47.659053802,-122.313186646
47.669311523,-122.318717957
47.65719986,-122.317810059
47.662063599,-122.285797119
47.662155151,-122.307228088
47.675842285,-122.319023132
47.681720734,-122.26701355
47.662063599,-122.285797119
47.663963318,-122.30834198
47.692108154,-122.305015564
47.667476654,-122.309631348
47.685451508,-122.305397034
47.650848389,-122.278244019
47.668991089,-122.311882019
47.673034668,-122.317359924
47.674758911,-122.309783936
47.663322449,-122.298408508
47.657588959,-122.31438446
47.692108154,-122.305015564
47.66399765,-122.313087463
47.664867401,-122.308326721
